id,data_criacao,usuario,texto,retweet_count,favorite_count
,,,"RT Milhões de brasileiros batalham diariamente para ter o que comer, já o STF e Janja esbanjam o dinheiro do pagador de i…",0,0
,,,RT Todos os remédios da Farmácia Popular são gratuitos. Todos. Há 4 anos estávamos morrendo como moscas sem ar e vacinas. Faz…,0,0
,,,"RT Milhões de brasileiros batalham diariamente para ter o que comer, já o STF e Janja esbanjam o dinheiro do pagador de i…",0,0
,,,Ha imposto i dazi lui,0,0
,,,"RT Sem popularidade, Lula quer comprar “reportagem” em veículos chapa branca. Quer gastar dinheiro dos impostos para comp…",0,0
,,,"Errei no texto! Faltou o NÃO. Karol! Não estou aqui defendendo A ou B. Mas olha, as vezes, ter ima casa elegante NÃO significa que o dinheiro sobra e tê-la é sinônimo de mais gastos, pois os impostos são mais elevados.",0,0
,,,"RT SENADOR CLEITINHO , NÃO TEM QUE DAR NADA , É SÓ BAIXAR OS IMPOSTOS ,QUEM VAI PAGAR SOMOS NOS OS QUE PAGA…",0,0
,,,"RT Sem popularidade, Lula quer comprar “reportagem” em veículos chapa branca. Quer gastar dinheiro dos impostos para comp…",0,0
,,,"RT 🇺🇲🚨A NOTÍCIA AGORA: A Procuradora-Geral dos EUA Pam Bondi: ""É direito do presidente controlar o orçamento, e estes são os…",0,0
,,,Recordes do governo 2024: Recorde em prejuízo das estatais Recorde em repasse da Lei Rouanet Recorde em incêndios na Amazônia Recorde em incêndios no Pantanal Recorde em aumento de impostos Recorde em mortes por dengue Recorde em homícidios Recorde em desvalorização…,0,0
